,station,month,day,year,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,date_string,date,aqi_PM10,aqi_PM2.5
11844,Shunyi,5,12,2014,66.0,145.0,16.0,92.0,900.0,155.0,29.7,999.3,12.3,0.0,4.4,5-12-2014,2014-05-12,96.0,156.0
8948,Huairou,5,12,2014,35.0,54.0,8.0,41.0,800.0,76.0,26.8,993.7,11.8,0.0,4.2,5-12-2014,2014-05-12,50.0,99.0
523,Aotizhongxin,5,12,2014,60.0,176.0,20.0,98.0,1100.0,146.0,29.0,996.8,13.5,0.0,4.3,5-12-2014,2014-05-12,111.0,153.0
3394,Dingling,5,12,2014,59.0,195.0,6.0,32.0,400.0,142.0,31.4,993.2,10.2,0.0,5.6,5-12-2014,2014-05-12,121.0,153.0
14626,Wanliu,5,12,2014,64.0,173.0,16.0,90.0,1500.0,130.0,29.0,996.8,13.5,0.0,4.3,5-12-2014,2014-05-12,110.0,155.0
4755,Dongsi,5,12,2014,114.0,166.0,23.0,89.0,1600.0,151.0,29.2,998.5,13.0,0.0,5.5,5-12-2014,2014-05-12,106.0,181.0
1951,Changping,5,12,2014,47.0,149.0,9.0,61.0,1100.0,144.0,31.4,993.2,10.2,0.0,5.6,5-12-2014,2014-05-12,98.0,129.0
13225,Tiantan,5,12,2014,67.0,144.0,26.0,99.0,1500.0,153.0,29.2,998.5,13.0,0.0,5.5,5-12-2014,2014-05-12,95.0,157.0
7530,Gucheng,5,12,2014,70.0,345.0,24.0,99.0,1000.0,142.0,29.5,994.8,12.5,0.0,2.6,5-12-2014,2014-05-12,196.0,158.0
6112,Guanyuan,5,12,2014,66.0,175.0,20.0,91.0,1700.0,161.0,29.0,996.8,13.5,0.0,4.3,5-12-2014,2014-05-12,111.0,156.0
10403,Nongzhanguan,5,13,2014,111.0,230.0,21.0,157.0,1300.0,138.0,30.0,1000.6,12.6,0.0,6.9,5-13-2014,2014-05-13,138.0,180.0
4759,Dongsi,5,13,2014,147.0,226.0,19.0,146.0,1700.0,128.0,30.0,1000.6,12.6,0.0,6.9,5-13-2014,2014-05-13,136.0,198.0
527,Aotizhongxin,5,13,2014,102.0,207.0,23.0,121.0,1200.0,124.0,29.8,999.3,13.3,0.0,4.9,5-13-2014,2014-05-13,127.0,175.0
7534,Gucheng,5,13,2014,123.0,204.0,34.0,136.0,1400.0,128.0,30.3,996.8,12.4,0.0,3.4,5-13-2014,2014-05-13,125.0,186.0
16040,Wanshouxigong,5,13,2014,105.0,226.0,26.0,136.0,1500.0,135.0,30.8,997.7,13.3,0.0,6.7,5-13-2014,2014-05-13,136.0,177.0
14630,Wanliu,5,13,2014,100.0,226.0,23.0,125.0,1200.0,120.0,29.8,999.3,13.3,0.0,4.9,5-13-2014,2014-05-13,136.0,174.0
8951,Huairou,5,13,2014,51.0,128.0,15.0,34.0,900.0,165.0,30.0,996.2,10.6,0.0,6.6,5-13-2014,2014-05-13,87.0,139.0
3398,Dingling,5,13,2014,126.0,166.0,10.0,94.0,900.0,126.0,30.2,996.5,10.9,0.0,6.5,5-13-2014,2014-05-13,106.0,187.0
6116,Guanyuan,5,13,2014,109.0,222.0,18.0,155.0,1700.0,121.0,29.8,999.3,13.3,0.0,4.9,5-13-2014,2014-05-13,134.0,179.0
13229,Tiantan,5,13,2014,60.0,132.0,22.0,78.0,900.0,95.0,29.7,1000.6,7.9,0.0,6.9,5-13-2014,2014-05-13,89.0,153.0
1955,Changping,5,13,2014,83.0,192.0,18.0,102.0,1500.0,107.0,30.2,996.5,10.9,0.0,6.5,5-13-2014,2014-05-13,119.0,165.0
11848,Shunyi,5,13,2014,98.0,145.0,24.0,75.0,900.0,163.0,30.3,1001.3,12.5,0.0,6.5,5-13-2014,2014-05-13,96.0,173.0
6120,Guanyuan,5,14,2014,31.0,174.0,7.0,72.0,600.0,91.0,23.2,1002.5,5.0,0.0,4.2,5-14-2014,2014-05-14,110.0,91.0
7538,Gucheng,5,14,2014,47.0,191.0,34.0,17.0,300.0,106.0,21.5,1000.2,-0.6,0.0,2.6,5-14-2014,2014-05-14,119.0,129.0
14634,Wanliu,5,14,2014,34.0,183.0,7.0,117.0,800.0,80.0,21.5,1002.5,5.0,0.0,4.2,5-14-2014,2014-05-14,115.0,97.0
1959,Changping,5,14,2014,32.0,139.0,15.0,59.0,400.0,90.0,23.4,999.3,0.8,0.0,3.5,5-14-2014,2014-05-14,93.0,93.0
10407,Nongzhanguan,5,14,2014,28.0,180.0,10.0,80.0,400.0,104.0,23.2,1003.6,1.9,0.0,6.7,5-14-2014,2014-05-14,113.0,84.0
8954,Huairou,5,14,2014,31.0,141.0,2.0,49.0,500.0,109.0,21.6,998.9,4.6,0.0,4.1,5-14-2014,2014-05-14,94.0,91.0
4763,Dongsi,5,14,2014,41.0,170.0,9.0,75.0,500.0,89.0,23.2,1003.6,1.9,0.0,6.7,5-14-2014,2014-05-14,108.0,115.0
11852,Shunyi,5,14,2014,55.0,140.0,3.0,94.0,800.0,99.0,22.6,1004.3,5.1,0.0,7.3,5-14-2014,2014-05-14,93.0,149.0
531,Aotizhongxin,5,14,2014,46.0,189.0,11.0,81.0,500.0,90.0,23.2,1002.5,5.0,0.0,4.2,5-14-2014,2014-05-14,118.0,127.0
13233,Tiantan,5,14,2014,35.0,143.0,7.0,30.0,400.0,87.0,21.6,1003.4,-1.0,0.0,6.7,5-14-2014,2014-05-14,95.0,99.0
16044,Wanshouxigong,5,14,2014,28.0,162.0,7.0,92.0,600.0,100.0,22.8,1001.4,6.5,0.0,4.4,5-14-2014,2014-05-14,104.0,84.0
3402,Dingling,5,14,2014,24.0,114.0,11.0,31.0,200.0,96.0,23.4,999.3,0.8,0.0,3.5,5-14-2014,2014-05-14,80.0,76.0
4767,Dongsi,5,15,2014,111.0,397.0,24.0,112.0,1400.0,133.0,28.5,998.1,7.1,0.0,3.8,5-15-2014,2014-05-15,261.0,180.0
14637,Wanliu,5,15,2014,109.0,400.0,17.0,136.0,1000.0,113.0,27.8,996.6,9.5,0.0,3.3,5-15-2014,2014-05-15,266.0,179.0
11856,Shunyi,5,15,2014,148.0,368.0,33.0,76.0,900.0,134.0,28.5,999.0,5.2,0.0,4.6,5-15-2014,2014-05-15,220.0,199.0
13237,Tiantan,5,15,2014,45.0,78.0,3.0,69.0,600.0,23.0,19.4,998.1,4.9,0.0,2.6,5-15-2014,2014-05-15,62.0,124.0
6124,Guanyuan,5,15,2014,122.0,387.0,18.0,116.0,1300.0,138.0,27.8,996.6,9.5,0.0,3.3,5-15-2014,2014-05-15,247.0,185.0
8958,Huairou,5,15,2014,123.0,404.0,8.0,81.0,700.0,144.0,29.0,993.7,5.6,0.0,4.3,5-15-2014,2014-05-15,271.0,186.0
3406,Dingling,5,15,2014,121.0,264.0,10.0,40.0,400.0,131.0,28.2,993.3,5.1,0.0,5.8,5-15-2014,2014-05-15,155.0,185.0
535,Aotizhongxin,5,15,2014,123.0,446.0,15.0,117.0,1100.0,117.0,27.8,996.6,9.5,0.0,3.3,5-15-2014,2014-05-15,327.0,186.0
16048,Wanshouxigong,5,15,2014,95.0,346.0,13.0,113.0,1400.0,135.0,28.3,995.7,9.9,0.0,2.3,5-15-2014,2014-05-15,196.0,171.0
10411,Nongzhanguan,5,15,2014,98.0,397.0,26.0,125.0,1400.0,137.0,28.5,998.1,7.1,0.0,3.8,5-15-2014,2014-05-15,261.0,173.0
1963,Changping,5,15,2014,106.0,324.0,12.0,60.0,500.0,130.0,28.2,993.3,5.1,0.0,5.8,5-15-2014,2014-05-15,185.0,177.0
539,Aotizhongxin,5,16,2014,158.0,308.0,28.0,119.0,1300.0,136.0,29.9,1006.8,11.0,0.0,3.2,5-16-2014,2014-05-16,177.0,208.0
8962,Huairou,5,16,2014,93.0,277.0,13.0,48.0,700.0,127.0,29.9,1004.5,6.6,0.0,6.8,5-16-2014,2014-05-16,162.0,170.0
11860,Shunyi,5,16,2014,91.0,207.0,32.0,140.0,1200.0,115.0,29.5,1005.0,7.2,0.0,3.8,5-16-2014,2014-05-16,127.0,169.0
1967,Changping,5,16,2014,91.0,262.0,21.0,101.0,600.0,151.0,30.0,1003.7,6.0,0.0,4.0,5-16-2014,2014-05-16,154.0,169.0
16052,Wanshouxigong,5,16,2014,94.0,264.0,28.0,124.0,1500.0,150.0,29.6,1006.1,8.2,0.0,4.4,5-16-2014,2014-05-16,155.0,171.0
10415,Nongzhanguan,5,16,2014,85.0,271.0,29.0,131.0,1300.0,156.0,28.9,1008.8,8.7,0.0,4.4,5-16-2014,2014-05-16,159.0,166.0
4771,Dongsi,5,16,2014,108.0,328.0,31.0,121.0,1400.0,141.0,28.9,1008.8,8.7,0.0,4.4,5-16-2014,2014-05-16,187.0,178.0
14640,Wanliu,5,16,2014,111.0,304.0,28.0,133.0,1000.0,142.0,29.9,1006.8,11.0,0.0,3.2,5-16-2014,2014-05-16,175.0,180.0
6128,Guanyuan,5,16,2014,97.0,286.0,29.0,133.0,1500.0,157.0,29.9,1006.8,11.0,0.0,3.2,5-16-2014,2014-05-16,166.0,172.0
3410,Dingling,5,16,2014,96.0,234.0,9.0,53.0,500.0,138.0,27.8,1003.7,6.0,0.0,4.0,5-16-2014,2014-05-16,140.0,172.0
7545,Gucheng,5,16,2014,70.0,224.0,28.0,66.0,1000.0,148.0,30.3,1004.7,6.7,0.0,2.4,5-16-2014,2014-05-16,135.0,158.0
1971,Changping,5,17,2014,83.0,154.0,51.0,80.0,1100.0,219.0,27.8,1006.0,9.7,0.0,5.4,5-17-2014,2014-05-17,100.0,165.0
543,Aotizhongxin,5,17,2014,101.0,208.0,61.0,118.0,1600.0,212.0,27.3,1009.4,13.1,0.0,4.7,5-17-2014,2014-05-17,127.0,174.0
14643,Wanliu,5,17,2014,93.0,222.0,66.0,127.0,2100.0,198.0,27.3,1009.4,13.1,0.0,4.7,5-17-2014,2014-05-17,134.0,170.0
6131,Guanyuan,5,17,2014,86.0,166.0,74.0,129.0,2300.0,233.0,27.3,1009.4,13.1,0.0,4.7,5-17-2014,2014-05-17,106.0,167.0
10419,Nongzhanguan,5,17,2014,119.0,181.0,82.0,138.0,1700.0,239.0,27.8,1010.9,9.2,0.0,4.4,5-17-2014,2014-05-17,114.0,184.0
3414,Dingling,5,17,2014,68.0,123.0,44.0,52.0,1400.0,220.0,27.8,1006.0,9.7,0.0,5.4,5-17-2014,2014-05-17,85.0,157.0
16056,Wanshouxigong,5,17,2014,89.0,173.0,91.0,120.0,2500.0,216.0,27.3,1008.5,10.8,0.0,3.8,5-17-2014,2014-05-17,110.0,168.0
4775,Dongsi,5,17,2014,80.0,202.0,69.0,130.0,1900.0,212.0,27.8,1010.9,9.2,0.0,4.4,5-17-2014,2014-05-17,124.0,164.0
8966,Huairou,5,17,2014,59.0,148.0,34.0,50.0,1200.0,214.0,27.9,1006.2,9.6,0.0,5.1,5-17-2014,2014-05-17,97.0,153.0
7548,Gucheng,5,17,2014,89.0,250.0,51.0,123.0,1600.0,185.0,27.9,1007.3,10.2,0.0,3.4,5-17-2014,2014-05-17,148.0,168.0
7551,Gucheng,5,18,2014,172.0,349.0,42.0,106.0,1600.0,249.0,29.8,1003.2,14.9,0.0,3.1,5-18-2014,2014-05-18,198.0,222.0
547,Aotizhongxin,5,18,2014,157.0,548.0,56.0,109.0,1100.0,247.0,29.0,1005.6,15.6,0.0,3.5,5-18-2014,2014-05-18,444.0,207.0
10423,Nongzhanguan,5,18,2014,160.0,272.0,70.0,115.0,1500.0,282.0,29.9,1006.9,13.6,0.0,4.7,5-18-2014,2014-05-18,159.0,210.0
4779,Dongsi,5,18,2014,162.0,293.0,69.0,108.0,1800.0,261.0,29.9,1006.9,13.6,0.0,4.7,5-18-2014,2014-05-18,170.0,212.0
16060,Wanshouxigong,5,18,2014,151.0,274.0,60.0,98.0,1600.0,260.0,29.4,1004.5,15.1,0.0,4.1,5-18-2014,2014-05-18,160.0,201.0
6134,Guanyuan,5,18,2014,180.0,290.0,49.0,106.0,1400.0,269.0,29.0,1005.6,15.6,0.0,3.5,5-18-2014,2014-05-18,168.0,230.0
14646,Wanliu,5,18,2014,152.0,309.0,54.0,171.0,1400.0,249.0,29.0,1005.6,15.6,0.0,3.5,5-18-2014,2014-05-18,178.0,202.0
3418,Dingling,5,18,2014,159.0,238.0,42.0,32.0,1400.0,260.0,30.1,1002.4,15.7,1.6,4.0,5-18-2014,2014-05-18,142.0,209.0
8970,Huairou,5,18,2014,157.0,278.0,49.0,60.0,1500.0,256.0,29.5,1002.6,14.1,0.1,5.3,5-18-2014,2014-05-18,162.0,207.0
1975,Changping,5,18,2014,153.0,290.0,52.0,63.0,1200.0,262.0,30.1,1002.4,15.7,1.6,4.0,5-18-2014,2014-05-18,168.0,203.0
1979,Changping,5,19,2014,161.0,208.0,24.0,48.0,1300.0,268.0,28.7,998.9,15.6,4.6,3.6,5-19-2014,2014-05-19,127.0,211.0
8974,Huairou,5,19,2014,159.0,227.0,31.0,67.0,1600.0,239.0,27.8,999.5,17.0,2.1,3.2,5-19-2014,2014-05-19,137.0,209.0
6137,Guanyuan,5,19,2014,172.0,257.0,33.0,126.0,1700.0,254.0,28.3,1002.0,17.5,7.0,2.7,5-19-2014,2014-05-19,152.0,222.0
3422,Dingling,5,19,2014,156.0,170.0,21.0,32.0,1400.0,283.0,28.7,998.9,15.6,4.6,3.6,5-19-2014,2014-05-19,108.0,206.0
14649,Wanliu,5,19,2014,164.0,262.0,39.0,168.0,1400.0,209.0,27.9,1002.0,17.5,7.0,2.7,5-19-2014,2014-05-19,154.0,214.0
16064,Wanshouxigong,5,19,2014,157.0,243.0,41.0,128.0,2000.0,247.0,28.9,1000.8,16.2,0.4,3.4,5-19-2014,2014-05-19,145.0,207.0
7554,Gucheng,5,19,2014,151.0,319.0,25.0,157.0,1600.0,230.0,29.0,999.6,16.8,1.2,2.0,5-19-2014,2014-05-19,183.0,201.0
10427,Nongzhanguan,5,19,2014,164.0,267.0,45.0,170.0,1900.0,261.0,28.7,1003.4,16.0,0.2,3.8,5-19-2014,2014-05-19,157.0,214.0
4783,Dongsi,5,19,2014,179.0,321.0,42.0,126.0,1700.0,243.0,28.7,1003.4,16.2,0.2,3.8,5-19-2014,2014-05-19,184.0,229.0
551,Aotizhongxin,5,19,2014,186.0,317.0,33.0,171.0,1700.0,238.0,28.3,1002.0,17.5,7.0,2.7,5-19-2014,2014-05-19,182.0,236.0
3426,Dingling,5,20,2014,140.0,142.0,16.0,36.0,1000.0,200.0,33.8,997.7,14.8,0.0,5.3,5-20-2014,2014-05-20,94.0,195.0
1983,Changping,5,20,2014,146.0,255.0,21.0,142.0,1300.0,203.0,33.8,997.7,14.8,0.0,5.3,5-20-2014,2014-05-20,151.0,198.0
14652,Wanliu,5,20,2014,182.0,368.0,31.0,147.0,2300.0,175.0,31.9,1000.3,16.8,0.0,3.9,5-20-2014,2014-05-20,220.0,232.0
8978,Huairou,5,20,2014,163.0,271.0,16.0,40.0,1500.0,166.0,32.1,998.4,15.7,0.0,5.5,5-20-2014,2014-05-20,159.0,213.0
7557,Gucheng,5,20,2014,183.0,406.0,14.0,164.0,2600.0,198.0,32.9,998.0,16.2,0.0,2.5,5-20-2014,2014-05-20,274.0,233.0
6140,Guanyuan,5,20,2014,225.0,310.0,26.0,161.0,2300.0,194.0,31.9,1000.3,16.8,0.0,3.9,5-20-2014,2014-05-20,178.0,275.0
4787,Dongsi,5,20,2014,239.0,397.0,42.0,98.0,2400.0,188.0,32.4,1002.2,16.1,0.0,3.9,5-20-2014,2014-05-20,261.0,289.0
555,Aotizhongxin,5,20,2014,220.0,345.0,25.0,122.0,2300.0,173.0,31.9,1000.3,16.8,0.0,3.9,5-20-2014,2014-05-20,196.0,270.0
16068,Wanshouxigong,5,20,2014,230.0,277.0,27.0,89.0,2300.0,199.0,32.0,999.6,16.1,0.0,3.4,5-20-2014,2014-05-20,162.0,280.0
10430,Nongzhanguan,5,20,2014,221.0,394.0,33.0,117.0,2100.0,199.0,32.4,1002.2,16.1,0.0,3.9,5-20-2014,2014-05-20,257.0,271.0
8982,Huairou,5,21,2014,141.0,249.0,34.0,56.0,2300.0,287.0,30.7,999.4,16.5,0.0,2.7,5-21-2014,2014-05-21,148.0,195.0
10433,Nongzhanguan,5,21,2014,142.0,259.0,44.0,94.0,1800.0,299.0,30.9,1003.5,15.9,0.0,2.3,5-21-2014,2014-05-21,153.0,196.0
6143,Guanyuan,5,21,2014,163.0,273.0,39.0,86.0,2300.0,282.0,30.7,1002.2,19.0,0.0,3.3,5-21-2014,2014-05-21,160.0,213.0
1987,Changping,5,21,2014,166.0,245.0,40.0,65.0,1900.0,276.0,31.0,998.9,15.8,0.0,3.6,5-21-2014,2014-05-21,146.0,216.0
558,Aotizhongxin,5,21,2014,174.0,344.0,37.0,141.0,1900.0,262.0,30.7,1002.2,19.0,0.0,3.3,5-21-2014,2014-05-21,195.0,224.0
7560,Gucheng,5,21,2014,180.0,370.0,34.0,139.0,2300.0,243.0,31.1,1000.0,17.5,0.0,2.0,5-21-2014,2014-05-21,223.0,230.0
4791,Dongsi,5,21,2014,165.0,531.0,39.0,106.0,2100.0,257.0,31.3,1003.5,15.9,0.0,3.8,5-21-2014,2014-05-21,427.0,215.0
14655,Wanliu,5,21,2014,164.0,289.0,47.0,242.0,2500.0,235.0,30.7,1002.2,19.0,0.0,3.3,5-21-2014,2014-05-21,168.0,214.0
3430,Dingling,5,21,2014,122.0,185.0,34.0,59.0,1400.0,294.0,31.0,998.9,15.8,0.0,3.6,5-21-2014,2014-05-21,116.0,185.0
16072,Wanshouxigong,5,21,2014,152.0,248.0,53.0,74.0,2300.0,271.0,30.4,1001.2,18.1,0.0,3.8,5-21-2014,2014-05-21,147.0,202.0
6146,Guanyuan,5,22,2014,275.0,400.0,38.0,147.0,3000.0,268.0,33.6,1002.8,19.7,0.0,4.6,5-22-2014,2014-05-22,266.0,325.0
4795,Dongsi,5,22,2014,286.0,363.0,43.0,140.0,2700.0,254.0,34.2,1004.8,17.8,0.0,5.2,5-22-2014,2014-05-22,212.0,336.0
3434,Dingling,5,22,2014,246.0,240.0,48.0,44.0,2800.0,349.0,34.7,999.5,17.0,0.0,5.7,5-22-2014,2014-05-22,143.0,296.0
14658,Wanliu,5,22,2014,277.0,392.0,57.0,219.0,2600.0,239.0,33.6,1002.8,19.0,0.0,4.6,5-22-2014,2014-05-22,254.0,327.0
561,Aotizhongxin,5,22,2014,290.0,434.0,42.0,149.0,2400.0,257.0,33.6,1002.8,19.7,0.0,4.6,5-22-2014,2014-05-22,312.0,340.0
1991,Changping,5,22,2014,285.0,345.0,59.0,62.0,3100.0,334.0,34.7,999.5,17.7,0.0,5.7,5-22-2014,2014-05-22,196.0,335.0
7563,Gucheng,5,22,2014,166.0,360.0,19.0,171.0,1800.0,182.0,31.3,1000.9,17.5,0.0,1.5,5-22-2014,2014-05-22,208.0,216.0
16076,Wanshouxigong,5,22,2014,268.0,358.0,37.0,149.0,2900.0,157.0,31.4,1002.4,17.8,0.0,2.3,5-22-2014,2014-05-22,205.0,318.0
10436,Nongzhanguan,5,22,2014,265.0,341.0,53.0,128.0,2800.0,282.0,34.2,1004.8,17.8,0.0,5.2,5-22-2014,2014-05-22,194.0,315.0
8986,Huairou,5,22,2014,274.0,340.0,72.0,129.0,3600.0,306.0,35.3,1000.2,17.1,0.0,5.4,5-22-2014,2014-05-22,193.0,324.0
3438,Dingling,5,23,2014,119.0,158.0,29.0,42.0,800.0,241.0,34.0,1002.4,14.8,0.0,5.0,5-23-2014,2014-05-23,102.0,184.0
4799,Dongsi,5,23,2014,112.0,203.0,44.0,101.0,1200.0,224.0,33.3,1007.1,14.1,0.0,4.9,5-23-2014,2014-05-23,125.0,180.0
1995,Changping,5,23,2014,135.0,224.0,36.0,67.0,1300.0,233.0,34.0,1002.4,14.8,0.0,5.0,5-23-2014,2014-05-23,135.0,192.0
14662,Wanliu,5,23,2014,122.0,240.0,59.0,130.0,1100.0,213.0,32.3,1005.6,17.1,0.0,3.6,5-23-2014,2014-05-23,143.0,185.0
7567,Gucheng,5,23,2014,130.0,303.0,54.0,141.0,1100.0,206.0,33.1,1003.6,15.5,0.0,3.3,5-23-2014,2014-05-23,175.0,189.0
6150,Guanyuan,5,23,2014,115.0,221.0,49.0,104.0,1400.0,241.0,32.3,1005.6,17.1,0.0,3.6,5-23-2014,2014-05-23,134.0,182.0
16080,Wanshouxigong,5,23,2014,113.0,210.0,52.0,112.0,1200.0,226.0,32.1,1004.8,15.8,0.0,4.4,5-23-2014,2014-05-23,128.0,181.0
10440,Nongzhanguan,5,23,2014,105.0,210.0,46.0,98.0,1300.0,247.0,33.3,1007.1,14.1,0.0,4.9,5-23-2014,2014-05-23,128.0,177.0
8990,Huairou,5,23,2014,149.0,251.0,40.0,86.0,1600.0,231.0,33.8,1002.7,15.0,0.0,7.2,5-23-2014,2014-05-23,149.0,199.0
565,Aotizhongxin,5,23,2014,120.0,238.0,45.0,119.0,1000.0,217.0,32.3,1005.6,17.1,0.0,3.6,5-23-2014,2014-05-23,142.0,184.0
3442,Dingling,5,24,2014,83.0,97.0,13.0,33.0,900.0,148.0,25.8,1000.3,18.8,4.9,2.8,5-24-2014,2014-05-24,72.0,165.0
1999,Changping,5,24,2014,94.0,203.0,21.0,78.0,1400.0,145.0,25.8,1000.3,18.8,4.9,2.8,5-24-2014,2014-05-24,125.0,171.0
16084,Wanshouxigong,5,24,2014,108.0,258.0,37.0,111.0,1700.0,79.0,24.7,1002.7,19.2,12.6,2.5,5-24-2014,2014-05-24,152.0,178.0
8994,Huairou,5,24,2014,79.0,181.0,30.0,49.0,1700.0,167.0,22.8,1000.5,19.0,2.1,1.8,5-24-2014,2014-05-24,114.0,163.0
10444,Nongzhanguan,5,24,2014,102.0,193.0,36.0,69.0,1400.0,157.0,26.8,1005.0,19.3,5.1,2.8,5-24-2014,2014-05-24,120.0,175.0
6154,Guanyuan,5,24,2014,101.0,226.0,31.0,104.0,1700.0,95.0,25.0,1003.4,20.5,1.0,1.6,5-24-2014,2014-05-24,136.0,174.0
569,Aotizhongxin,5,24,2014,107.0,352.0,27.0,91.0,1300.0,92.0,25.0,1003.4,20.5,1.0,1.8,5-24-2014,2014-05-24,199.0,178.0
4803,Dongsi,5,24,2014,109.0,261.0,37.0,78.0,1600.0,123.0,26.8,1005.0,19.3,5.1,2.8,5-24-2014,2014-05-24,154.0,179.0
7571,Gucheng,5,24,2014,120.0,347.0,17.0,170.0,1300.0,84.0,25.9,1001.4,19.9,2.5,2.7,5-24-2014,2014-05-24,197.0,184.0
14666,Wanliu,5,24,2014,112.0,300.0,31.0,153.0,1600.0,97.0,25.0,1003.4,20.5,7.3,1.8,5-24-2014,2014-05-24,173.0,180.0
14670,Wanliu,5,25,2014,144.0,402.0,10.0,83.0,800.0,92.0,27.9,1002.8,19.8,0.0,5.7,5-25-2014,2014-05-25,268.0,197.0
2003,Changping,5,25,2014,178.0,504.0,3.0,49.0,2100.0,100.0,27.6,999.8,18.6,0.1,8.0,5-25-2014,2014-05-25,400.0,228.0
573,Aotizhongxin,5,25,2014,198.0,601.0,4.0,94.0,1300.0,102.0,27.9,1002.8,20.0,0.0,5.7,5-25-2014,2014-05-25,497.0,248.0
16088,Wanshouxigong,5,25,2014,151.0,405.0,2.0,63.0,1200.0,105.0,28.0,1002.2,19.3,0.0,8.2,5-25-2014,2014-05-25,273.0,201.0
3446,Dingling,5,25,2014,172.0,492.0,2.0,24.0,1200.0,103.0,27.6,999.8,18.6,0.1,8.0,5-25-2014,2014-05-25,385.0,222.0
6158,Guanyuan,5,25,2014,162.0,464.0,5.0,72.0,1100.0,101.0,27.9,1002.8,20.0,0.0,5.7,5-25-2014,2014-05-25,350.0,212.0
7575,Gucheng,5,25,2014,149.0,453.0,10.0,76.0,1000.0,102.0,28.2,1000.9,19.8,0.0,4.0,5-25-2014,2014-05-25,336.0,199.0
4807,Dongsi,5,25,2014,140.0,567.0,5.0,87.0,1900.0,108.0,27.7,1004.5,18.8,0.0,9.7,5-25-2014,2014-05-25,463.0,195.0
8998,Huairou,5,25,2014,145.0,453.0,4.0,62.0,2500.0,101.0,27.2,999.8,18.8,0.1,8.6,5-25-2014,2014-05-25,336.0,197.0
10448,Nongzhanguan,5,25,2014,152.0,564.0,3.0,79.0,2200.0,113.0,27.7,1004.5,18.8,0.0,9.7,5-25-2014,2014-05-25,460.0,202.0
4811,Dongsi,5,26,2014,29.0,123.0,5.0,120.0,800.0,157.0,34.1,1001.5,6.0,0.0,4.4,5-26-2014,2014-05-26,85.0,87.0
7579,Gucheng,5,26,2014,54.0,209.0,10.0,112.0,1100.0,138.0,36.5,997.8,6.8,0.0,2.8,5-26-2014,2014-05-26,128.0,147.0
10452,Nongzhanguan,5,26,2014,38.0,123.0,5.0,131.0,700.0,170.0,34.1,1001.5,6.0,0.0,4.4,5-26-2014,2014-05-26,85.0,107.0
14674,Wanliu,5,26,2014,31.0,130.0,14.0,134.0,900.0,143.0,35.5,999.9,12.6,0.0,3.3,5-26-2014,2014-05-26,88.0,91.0
9002,Huairou,5,26,2014,32.0,99.0,15.0,68.0,800.0,140.0,36.4,996.6,8.6,0.0,5.9,5-26-2014,2014-05-26,73.0,93.0
577,Aotizhongxin,5,26,2014,44.0,192.0,6.0,125.0,900.0,150.0,35.5,999.9,12.6,0.0,3.3,5-26-2014,2014-05-26,119.0,122.0
2007,Changping,5,26,2014,33.0,89.0,17.0,93.0,500.0,123.0,36.6,996.4,1.8,0.0,6.8,5-26-2014,2014-05-26,68.0,95.0
3450,Dingling,5,26,2014,34.0,86.0,13.0,20.0,100.0,135.0,36.6,996.4,1.8,0.0,6.8,5-26-2014,2014-05-26,66.0,97.0
16092,Wanshouxigong,5,26,2014,52.0,145.0,5.0,129.0,1300.0,157.0,34.5,999.3,12.5,0.0,3.9,5-26-2014,2014-05-26,96.0,142.0
6162,Guanyuan,5,26,2014,47.0,121.0,5.0,127.0,800.0,165.0,35.5,999.9,12.6,0.0,3.3,5-26-2014,2014-05-26,84.0,129.0
10456,Nongzhanguan,5,27,2014,103.0,479.0,7.0,132.0,900.0,123.0,31.2,997.1,10.1,0.0,8.4,5-27-2014,2014-05-27,369.0,176.0
581,Aotizhongxin,5,27,2014,145.0,526.0,10.0,122.0,700.0,112.0,31.9,995.7,14.5,0.0,6.1,5-27-2014,2014-05-27,422.0,197.0
3454,Dingling,5,27,2014,88.0,276.0,8.0,21.0,100.0,120.0,31.7,992.6,9.3,0.0,9.3,5-27-2014,2014-05-27,161.0,168.0
9006,Huairou,5,27,2014,58.0,236.0,16.0,97.0,900.0,113.0,31.1,992.7,11.2,0.6,8.3,5-27-2014,2014-05-27,141.0,152.0
14678,Wanliu,5,27,2014,113.0,444.0,15.0,130.0,900.0,104.0,31.9,995.7,14.5,0.0,6.1,5-27-2014,2014-05-27,325.0,181.0
16096,Wanshouxigong,5,27,2014,105.0,433.0,6.0,111.0,800.0,121.0,32.1,995.0,9.7,0.0,8.4,5-27-2014,2014-05-27,311.0,177.0
7583,Gucheng,5,27,2014,117.0,549.0,15.0,102.0,1100.0,120.0,31.7,993.7,8.7,0.0,4.6,5-27-2014,2014-05-27,445.0,183.0
2011,Changping,5,27,2014,121.0,416.0,20.0,96.0,500.0,109.0,31.7,992.6,9.3,0.0,9.3,5-27-2014,2014-05-27,289.0,185.0
4815,Dongsi,5,27,2014,99.0,493.0,7.0,120.0,800.0,118.0,31.2,997.1,10.1,0.0,8.4,5-27-2014,2014-05-27,386.0,173.0
6166,Guanyuan,5,27,2014,107.0,477.0,6.0,121.0,1100.0,107.0,31.9,995.7,14.5,0.0,6.1,5-27-2014,2014-05-27,366.0,178.0
